-0.00348	0.0007
-0.00735	9e-05
-0.0087	-0.0087
-0.00333	0.00134
-0.00153	0.00037
0.00235	0.00235
0.00601	0.00204
0.00308	0.0036
0.00366	0.00302
0.00174	-0.00089
0.00562	-0.00076
0.00186	-0.00232
-0.00211	-0.00357
0.0015	0.0015
-0.00085	-0.00195
-0.00375	0.00061
-0.00177	-0.00122
-0.00104	-0.00058
-0.00098	0.00101
-0.00076	0
-0.00336	0.00049
-0.00317	-0.00098
-0.00134	0.00204
-0.00336	0.0029
-0.0025	0.00299
-0.00223	0.00137
-0.00339	-0.00137
-0.00192	0.00015
0.00125	-0.00134
0.00488	-0.00186
0.00391	-0.00134
0.0069	0.00186
0.00092	0.00229
-0.00128	-0.0014
0.00247	-6e-05
0.00208	-0.00104
-0.00238	-0.00391
-0.00037	-0.00281
-0.00336	-0.0033
-0.00974	-0.0025
-0.00391	-0.00079
-0.00253	0.00034
0.00064	0.00397
0.00067	0.00458
0.00113	0.00302
0.0018	-0.00101
-0.00131	-0.00214
-0.00079	-0.00046
-0.00079	-0.00143
-0.00189	-0.00342
-0.00064	-0.00101
-0.00671	-0.00076
-0.00281	-0.00037
0.00366	0.00159
0.00589	0.00055
0.00952	0.0011
0.00253	-0.0032
-0.00253	-0.00275
-0.00742	-0.00238
-0.00797	-0.00259
-0.00516	-0.00031
-0.0033	-0.00186
0.00287	-0.00143
0.00491	0.00378
0.00616	0.00284
0.01105	0.01105
0.01312	0.00143
0.00378	0.00223
-0.00397	-0.00085
-0.00848	-0.00449
-0.01312	-0.00189
-0.01352	-0.0004
-0.01056	-0.00031
0.00247	0.00174
0.00748	0.00363
0.00851	0.00275
0.00864	0.00275
0.00571	0.00171
0.00732	0.00034
0.00302	0.00024
-0.00327	-0.00122
-0.00681	-0.0029
-0.00711	-0.00238
-0.00555	-0.00262
-0.00784	-0.0029
-0.00235	-0.00571
0.0007	-0.00458
-0.00113	-0.00015
0.00522	-0.00027
0.0072	0.00104
0.00797	0.00162
0.00714	0.00443
0.00769	0.0051
0.00174	0.00058
-0.0062	-0.00122
-0.01239	-0.0029
-0.01746	-0.00531
-0.00989	-0.00244
-0.00623	-0.00357
0.00116	0.00119
